Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
5E+17,1,3/1/20 9:01,3/1/20 9:00,5E+17,Edwin Krantz,,,,Dine In,5E+17,5E+17,,,Drip Coffee,,Coffee,Coffee & Tea,Coffee,5.51,0,5.51,2,0.49,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,2,3/1/20 9:02,3/1/20 9:02,5E+17,Edwin Krantz,3,Dining Room,,Dine In,5E+17,5E+17,,,Latte (before 6pm only),,Coffee,Coffee & Tea,Coffee,10.1,0,10.1,2,0.9,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,2,3/1/20 9:02,3/1/20 9:02,5E+17,Edwin Krantz,3,Dining Room,,Dine In,5E+17,5E+17,,,Avocado Toast,,Brunch,Brunch,Food,20,0,20,2,1.78,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,2,3/1/20 9:02,3/1/20 9:02,5E+17,Edwin Krantz,3,Dining Room,,Dine In,5E+17,5E+17,,,Rosemary Homefries,,Brunch Sides,Brunch,Food,5,0,5,1,0.44,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,3,3/1/20 9:12,3/1/20 9:11,5E+17,Edwin Krantz,,,,Dine In,5E+17,5E+17,,,Drip Coffee,,Coffee,Coffee & Tea,Coffee,2.3,0,2.3,1,0.2,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,4,3/1/20 9:24,3/1/20 9:24,5E+17,Edwin Krantz,,,,Dine In,5E+17,5E+17,,,Cold Brew,,Cold,Coffee & Tea,Coffee,8.27,0,8.27,2,0.73,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,5,3/1/20 9:31,3/1/20 9:31,5E+17,Edwin Krantz,4,Dining Room,,Dine In,5E+17,5E+17,,,Cold Brew,,Cold,Coffee & Tea,Coffee,4.13,0,4.13,1,0.37,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,6,3/1/20 9:32,3/1/20 9:31,5E+17,Edwin Krantz,,,,Dine In,5E+17,5E+17,,,Drip Coffee,,Coffee,Coffee & Tea,Coffee,2.76,0,2.76,1,0.24,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,7,3/1/20 9:38,3/1/20 9:34,5E+17,Edwin Krantz,,,,Dine In,5E+17,5E+17,,,Plain,,Croissants,Pastries,Food,3,0,3,1,0.00E+00,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,8,3/1/20 9:41,3/1/20 9:40,5E+17,Edwin Krantz,5,Dining Room,,Dine In,5E+17,5E+17,,,Avocado Toast,,Brunch,Brunch,Food,32,0,32,2,2.84,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
