Item id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Sales Total,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
459,29,12/4/19 12:23,12/4/19 12:22,5E+17,Sean Bethoulle,4,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Marmalade Parfait,,All-Day Breakfast,Daytime,Food,6,0,6,1,,0.53,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
460,29,12/4/19 12:23,12/4/19 12:22,5E+17,Sean Bethoulle,4,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,F'N BLT,,Lunch,Daytime,Food,8,0,8,1,,0.71,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
461,29,12/4/19 12:55,12/4/19 12:22,5E+17,Sean Bethoulle,4,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Latte,,Coffee,Coffee & Tea,Coffee,4.13,0,4.13,1,,0.37,FALSE,FALSE,FALSE,Tax Included,No Effect,
462,31,12/4/19 13:02,12/4/19 13:02,5E+17,Sean Bethoulle,,,All Day,Dine In,5E+17,5E+17,5E+17,,,Drip Coffee,,Coffee,Coffee & Tea,Coffee,2.3,0,2.3,1,,0.2,FALSE,FALSE,FALSE,Tax Included,No Effect,
463,32,12/4/19 13:10,12/4/19 13:10,5E+17,Sean Bethoulle,3,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Rainbow Kale Salad,,Lunch,Daytime,Food,13,0,13,1,,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
464,33,12/4/19 13:18,12/4/19 13:18,5E+17,Sean Bethoulle,201,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Espresso,,Coffee,Coffee & Tea,Coffee,3.22,0,3.22,1,,0.28,FALSE,FALSE,FALSE,Tax Included,No Effect,
465,34,12/4/19 13:33,12/4/19 13:33,5E+17,Omar Casas,903,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Banh Matter,,Lunch,Daytime,Food,13,6.5,6.5,1,,0.58,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
466,35,12/4/19 13:49,12/4/19 13:49,5E+17,Sean Bethoulle,3,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Soup D' Jour,,Lunch,Daytime,Food,6,0,6,1,,0.53,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
467,36,12/4/19 14:04,12/4/19 14:04,5E+17,Sean Bethoulle,,,All Day,Dine In,5E+17,5E+17,5E+17,,,Latte,,Coffee,Coffee & Tea,Coffee,4.59,0,4.59,1,,0.41,FALSE,FALSE,FALSE,Tax Included,No Effect,
468,37,12/4/19 14:06,12/4/19 14:06,5E+17,Sean Bethoulle,201,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Cold Brew,,Cold,Coffee & Tea,Coffee,4.13,0,4.13,1,,0.37,FALSE,FALSE,FALSE,Tax Included,No Effect,
