Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
5E+17,1,9/2/20 12:56,9/2/20 12:56,5E+17,Alfredo Vargas,T2,Outside,All Day,Dine In,5E+17,5E+17,,,"SingleCut ""Plain Top Pils"" Pilsner / 5.2% abv / 12oz, 16oz Draft or 64 oz Growler",,Beer / Hard Seltzer / Cider,Adult Beverages,,6,0,6,1,0.00E+00,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,1,9/2/20 12:56,9/2/20 12:56,5E+17,Alfredo Vargas,T2,Outside,All Day,Dine In,5E+17,5E+17,,,Craft Ginger Ale,,NA Beverages,Beverages,N/A Beverages,3,0,3,1,0.27,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,2,9/2/20 13:41,9/2/20 13:41,5E+17,Alfredo Vargas,T2,Outside,All Day,Dine In,5E+17,5E+17,,,Iced Americano,,Cold,Coffee & Tea,Coffee,3.67,0,3.67,1,0.33,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,3,9/2/20 14:03,9/2/20 14:03,5E+17,Alfredo Vargas,Bench3,Outside,All Day,Dine In,5E+17,5E+17,,,Black Bean Burger,,Dinner Menu,Dinner,Food,13,0,13,1,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,3,9/2/20 14:33,9/2/20 14:03,5E+17,Alfredo Vargas,Bench3,Outside,All Day,Dine In,5E+17,5E+17,,,Cold Brew,,Cold,Coffee & Tea,Coffee,3.9,0,3.9,1,0.35,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,3,9/2/20 14:33,9/2/20 14:03,5E+17,Alfredo Vargas,Bench3,Outside,All Day,Dine In,5E+17,5E+17,,,Hot Chocolate,,Hot,Coffee & Tea,Coffee,3.67,0,3.67,1,0.33,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,4,9/2/20 14:35,9/2/20 14:35,5E+17,Alfredo Vargas,B3,,All Day,Dine In,5E+17,5E+17,,,Wilted Kale Grain Bowl,,Dinner Menu,Dinner,Food,16,0,16,1,1.42,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,4,9/2/20 14:35,9/2/20 14:35,5E+17,Alfredo Vargas,B3,,All Day,Dine In,5E+17,5E+17,,,Banh Matter,,Dinner Menu,Dinner,Food,13,0,13,1,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,5,9/2/20 14:55,9/2/20 14:55,5E+17,Alfredo Vargas,T2,Outside,All Day,Dine In,5E+17,5E+17,,,Espresso,,Coffee,Coffee & Tea,Coffee,3.22,0,3.22,1,0.28,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,6,9/2/20 15:04,9/2/20 15:04,5E+17,Alfredo Vargas,T2,Outside,All Day,Dine In,5E+17,5E+17,,,Cold Brew,,Cold,Coffee & Tea,Coffee,4.59,0,4.59,1,0.41,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,7,9/2/20 15:23,9/2/20 15:20,5E+17,Alfredo Vargas,,,All Day,Dine In,5E+17,5E+17,,,Cold Brew,,Cold,Coffee & Tea,Coffee,3.9,0,3.9,1,0.35,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,4,9/2/20 15:23,9/2/20 14:35,5E+17,Alfredo Vargas,B3,,All Day,Dine In,5E+17,5E+17,,,Cold Brew,,Cold,Coffee & Tea,Coffee,4.59,0,4.59,1,0.41,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,4,9/2/20 15:23,9/2/20 14:35,5E+17,Alfredo Vargas,B3,,All Day,Dine In,5E+17,5E+17,,,Hot Tea,,Hot,Coffee & Tea,Coffee,3.22,0,3.22,1,0.28,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,8,9/2/20 15:25,9/2/20 15:25,5E+17,Alfredo Vargas,314,,All Day,Dine In,5E+17,5E+17,,,Cold Brew,,Cold,Coffee & Tea,Coffee,9.19,0,9.19,2,0.81,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,10,9/2/20 16:03,9/2/20 16:02,5E+17,Aleks Degtyarev,R1,Outside,All Day,Dine In,5E+17,5E+17,,,Cold Brew,,Cold,Coffee & Tea,Coffee,3.9,0,3.9,1,0.35,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,11,9/2/20 16:08,9/2/20 16:07,5E+17,Alfredo Vargas,B3,,All Day,Dine In,5E+17,5E+17,,,Garlic Parmesan Fries,,Dinner Menu,Dinner,Food,8,0,8,1,0.71,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
